horizon,store_id,model,MAE,"MAPE, %",rows,fold
4,20,baseline_week_ago,86.1161616161616,10.310616467490123,33,3
4,20,baseline_two_weeks_ago,74.01010101010101,8.468030706161782,33,3
4,20,prophet,63.84695018446287,7.418735376457198,33,3
4,20,boosting,61.83700959958632,7.214605526467296,33,3
5,все,baseline_week_ago,77.87878787878788,12.047295214963203,66,3
5,все,baseline_two_weeks_ago,67.08080808080808,10.23938753242437,66,3
5,все,prophet,53.033886357336165,7.832359252417106,66,3
5,все,boosting,48.29615887557554,7.064403714309632,66,3
5,1,baseline_week_ago,69.64141414141415,13.78397396243628,33,3
5,1,baseline_two_weeks_ago,60.15151515151515,12.010744358686958,33,3
5,1,prophet,41.63371455378446,8.176389446652244,33,3
5,1,boosting,34.852221882180444,6.980255647914947,33,3
5,20,baseline_week_ago,86.1161616161616,10.310616467490123,33,3
5,20,baseline_two_weeks_ago,74.01010101010101,8.468030706161782,33,3
5,20,prophet,64.43405816088786,7.488329058181972,33,3
5,20,boosting,61.740095868970634,7.148551780704315,33,3
6,все,baseline_week_ago,77.87878787878788,12.047295214963203,66,3
6,все,baseline_two_weeks_ago,67.08080808080808,10.23938753242437,66,3
6,все,prophet,53.436750921975644,7.891980715625897,66,3
6,все,boosting,47.85926523702314,7.009412614283236,66,3
6,1,baseline_week_ago,69.64141414141415,13.78397396243628,33,3
6,1,baseline_two_weeks_ago,60.15151515151515,12.010744358686958,33,3
6,1,prophet,42.02344788323677,8.250555255731088,33,3
6,1,boosting,34.17558045823782,6.903602387756156,33,3
6,20,baseline_week_ago,86.1161616161616,10.310616467490123,33,3
6,20,baseline_two_weeks_ago,74.01010101010101,8.468030706161782,33,3
6,20,prophet,64.85005396071453,7.533406175520707,33,3
6,20,boosting,61.54295001580846,7.115222840810318,33,3
7,все,baseline_week_ago,77.87878787878788,12.047295214963203,66,3
7,все,baseline_two_weeks_ago,67.08080808080808,10.23938753242437,66,3
7,все,prophet,53.878390787322274,7.961776329902682,66,3
7,все,boosting,48.15277692879662,7.087395416855682,66,3
7,1,baseline_week_ago,69.64141414141415,13.78397396243628,33,3
7,1,baseline_two_weeks_ago,60.15151515151515,12.010744358686958,33,3
7,1,prophet,42.60996298680576,8.361407277876772,33,3
7,1,boosting,34.68436375794159,6.995363612072509,33,3
7,20,baseline_week_ago,86.1161616161616,10.310616467490123,33,3
7,20,baseline_two_weeks_ago,74.01010101010101,8.468030706161782,33,3
7,20,prophet,65.14681858783877,7.562145381928592,33,3
7,20,boosting,61.62119009965166,7.179427221638858,33,3
1,все,baseline_week_ago,77.91666666666667,11.702552522650139,72,4
1,все,baseline_two_weeks_ago,48.72222222222222,6.901748475919195,72,4
1,все,prophet,41.64098803602639,6.12509547184091,72,4
1,все,boosting,35.54104392597193,5.2528862578344215,72,4
1,1,baseline_week_ago,69.16666666666667,13.654301044203661,36,4
1,1,baseline_two_weeks_ago,36.166666666666664,7.013384082528014,36,4
1,1,prophet,33.85563738692363,6.6485251523570446,36,4
1,1,boosting,25.325975823454108,5.068056528176832,36,4
1,20,baseline_week_ago,86.66666666666667,9.750804001096608,36,4
1,20,baseline_two_weeks_ago,61.27777777777778,6.7901128693103745,36,4
1,20,prophet,49.42633868512915,5.601665791324776,36,4
1,20,boosting,45.75611202848975,5.437715987492011,36,4
2,все,baseline_week_ago,77.91666666666667,11.702552522650139,72,4
2,все,baseline_two_weeks_ago,48.72222222222222,6.901748475919195,72,4
2,все,prophet,42.658033133303356,6.268416444482622,72,4
2,все,boosting,34.73619669988432,5.105309126121024,72,4
2,1,baseline_week_ago,69.16666666666667,13.654301044203661,36,4
2,1,baseline_two_weeks_ago,36.166666666666664,7.013384082528014,36,4
2,1,prophet,34.58790856330782,6.784817791563443,36,4
2,1,boosting,24.012668771479113,4.820625644112561,36,4
2,20,baseline_week_ago,86.66666666666667,9.750804001096608,36,4
2,20,baseline_two_weeks_ago,61.27777777777778,6.7901128693103745,36,4
2,20,prophet,50.7281577032989,5.752015097401799,36,4
2,20,boosting,45.45972462828953,5.389992608129486,36,4
3,все,baseline_week_ago,77.91666666666667,11.702552522650139,72,4
3,все,baseline_two_weeks_ago,48.72222222222222,6.901748475919195,72,4
3,все,prophet,43.40174704384021,6.373055728437732,72,4
3,все,boosting,35.893652498568215,5.26692227516624,72,4
3,1,baseline_week_ago,69.16666666666667,13.654301044203661,36,4
3,1,baseline_two_weeks_ago,36.166666666666664,7.013384082528014,36,4
3,1,prophet,35.048519269434436,6.867439562482714,36,4
3,1,boosting,25.223551388790828,5.065844438666525,36,4
3,20,baseline_week_ago,86.66666666666667,9.750804001096608,36,4
3,20,baseline_two_weeks_ago,61.27777777777778,6.7901128693103745,36,4
3,20,prophet,51.75497481824598,5.878671894392753,36,4
3,20,boosting,46.5637536083456,5.4680001116659565,36,4
4,все,baseline_week_ago,77.91666666666667,11.702552522650139,72,4
4,все,baseline_two_weeks_ago,48.72222222222222,6.901748475919195,72,4
4,все,prophet,43.798212779720174,6.408694321509747,72,4
4,все,boosting,34.87522359463022,5.097758293785234,72,4
4,1,baseline_week_ago,69.16666666666667,13.654301044203661,36,4
4,1,baseline_two_weeks_ago,36.166666666666664,7.013384082528014,36,4
4,1,prophet,34.97340980932587,6.848116146102319,36,4
4,1,boosting,24.647542097289218,4.945218464529866,36,4
4,20,baseline_week_ago,86.66666666666667,9.750804001096608,36,4
4,20,baseline_two_weeks_ago,61.27777777777778,6.7901128693103745,36,4
4,20,prophet,52.62301575011449,5.969272496917174,36,4
4,20,boosting,45.102905091971216,5.250298123040605,36,4
5,все,baseline_week_ago,77.91666666666667,11.702552522650139,72,4
5,все,baseline_two_weeks_ago,48.72222222222222,6.901748475919195,72,4
5,все,prophet,44.043963921036934,6.406795877827691,72,4
5,все,boosting,36.576150447151626,5.360495517846877,72,4
5,1,baseline_week_ago,69.16666666666667,13.654301044203661,36,4
5,1,baseline_two_weeks_ago,36.166666666666664,7.013384082528014,36,4
5,1,prophet,34.60791917583136,6.769649235467269,36,4
5,1,boosting,26.51583804858892,5.348012426695783,36,4
5,20,baseline_week_ago,86.66666666666667,9.750804001096608,36,4
5,20,baseline_two_weeks_ago,61.27777777777778,6.7901128693103745,36,4
5,20,prophet,53.48000866624251,6.043942520188109,36,4
5,20,boosting,46.63646284571433,5.372978608997971,36,4
6,все,baseline_week_ago,77.91666666666667,11.702552522650139,72,4
6,все,baseline_two_weeks_ago,48.72222222222222,6.901748475919195,72,4
6,все,prophet,44.22439584809178,6.425286753419096,72,4
6,все,boosting,36.12891556336823,5.2754658501780005,72,4
6,1,baseline_week_ago,69.16666666666667,13.654301044203661,36,4
6,1,baseline_two_weeks_ago,36.166666666666664,7.013384082528014,36,4
6,1,prophet,34.511211634340526,6.749655411641093,36,4
6,1,boosting,25.410219774377335,5.104750197649185,36,4
6,20,baseline_week_ago,86.66666666666667,9.750804001096608,36,4
6,20,baseline_two_weeks_ago,61.27777777777778,6.7901128693103745,36,4
6,20,prophet,53.937580061843036,6.100918095197099,36,4
6,20,boosting,46.84761135235912,5.446181502706817,36,4
7,все,baseline_week_ago,77.91666666666667,11.702552522650139,72,4
7,все,baseline_two_weeks_ago,48.72222222222222,6.901748475919195,72,4
7,все,prophet,44.52368736650447,6.469026347395928,72,4
7,все,boosting,35.478592882892464,5.226362188490394,72,4
